lighting_type_id,description,source,type,id,unit
174,"Ballasts, replacement, multi-tap, for metal halide, 400 Watt",rs-means,Unit,190342,Ea
175,"Ballasts, replacement, multi-tap, for metal halide, 1000 Watt",rs-means,Unit,190343,Ea
176,"Ballasts, replacement, multi-tap, for metal halide, 1500 Watt",rs-means,Unit,190344,Ea
177,"Exit lighting, incandescent, single face, ceiling or wall mount",rs-means,Unit,190345,Ea
178,"Exit lighting, incandescent, double face, ceiling or wall mount",rs-means,Unit,190346,Ea
179,"Exit lighting, incandescent, double face, explosion proof, ceiling or wall mount",rs-means,Unit,190347,Ea
180,"Exit lighting, fluorescent, single face, ceiling or wall mount",rs-means,Unit,190348,Ea
181,"Exit lighting, fluorescent, double face, ceiling or wall mount",rs-means,Unit,190349,Ea
182,"Exit lighting, LED standard, single face, ceiling or wall mount",rs-means,Unit,190350,Ea
183,"Exit lighting, LED standard, double face, ceiling or wall mount",rs-means,Unit,190351,Ea
184,"Exit lighting, LED vandal-resistant, single face, single face, ceiling or wall mount",rs-means,Unit,190352,Ea
185,"Exit lighting, LED w/ battery unit, single face, ceiling or wall mount",rs-means,Unit,190353,Ea
186,"Exit lighting, LED w/ battery unit, double face, ceiling or wall mount",rs-means,Unit,190354,Ea
187,"Exit lighting, LED w/ battery unit, vandal-resistant, single face, ceiling or wall mount",rs-means,Unit,190355,Ea
188,"Combination emergency light units and exit sign, ceiling or wall mount",rs-means,Unit,190356,Ea
189,"Exit lighting, LED retrofit kits",rs-means,Unit,190357,Ea
190,"Low pressure sodium fixture, exterior, wall pack, 35 watt, incl lamps",rs-means,Unit,190358,Ea
191,"Low pressure sodium fixture, exterior, wall pack, 55 watt, incl lamps",rs-means,Unit,190359,Ea
192,"High pressure sodium fixture, exterior, wall pack, 70 watt, incl lamps",rs-means,Unit,190360,Ea
193,"High pressure sodium fixture, exterior, wall pack, 150 watt, incl lamps",rs-means,Unit,190361,Ea
194,"Metal halide fixture, exterior, wall pack, 175 Watt, incl lamps",rs-means,Unit,190362,Ea
195,"Metal halide fixture, exterior, wall pack, 250 Watt, incl lamps",rs-means,Unit,190363,Ea
196,"Metal halide fixture, exterior, wall pack, 400 Watt, incl lamps",rs-means,Unit,190364,Ea
197,"LED fixture, exterior, wall pack, poly lens, 26 watt, incl lamps",rs-means,Unit,190365,Ea
198,"LED fixture, exterior, wall pack, poly lens, 110 watt, incl lamps",rs-means,Unit,190366,Ea
199,"LED fixture, exterior, wall pack, poly lens, 13 watt, incl lamps",rs-means,Unit,190367,Ea
200,"Exterior LED fixture, wall mounted, indoor/outdoor, 12 watt, incl lamps",rs-means,Unit,190368,Ea
201,"Exterior LED fixture, wall mounted, indoor/outdoor, 32 watt, incl lamps",rs-means,Unit,190369,Ea
202,"Exterior LED fixture, wall mounted, indoor/outdoor, 66 watt, incl lamps",rs-means,Unit,190370,Ea
203,"Exterior LED fixture, wall mounted, outdoor, 110 watt, incl lamps",rs-means,Unit,190371,Ea
204,"Exterior LED fixture, wall mounted, outdoor, 220 watt, incl lamps",rs-means,Unit,190372,Ea
205,"Exterior LED fixture, modular, type IV, 120 V, 50 watt, incl lamps",rs-means,Unit,190373,Ea
206,"Exterior LED fixture, modular, type IV, 120 V, 101 watt, incl lamps",rs-means,Unit,190374,Ea
207,"Exterior LED fixture, modular, type IV, 120 V, 126 watt, incl lamps",rs-means,Unit,190375,Ea
208,"Exterior LED fixture, modular, type IV, 120 V, 202 watt, incl lamps",rs-means,Unit,190376,Ea
209,"Exterior LED fixture, modular, type IV, 240 V, 50 watt, incl lamps",rs-means,Unit,190377,Ea
210,"Exterior LED fixture, modular, type IV, 240 V, 101 watt, incl lamps",rs-means,Unit,190378,Ea
211,"Exterior LED fixture, modular, type IV, 240 V, 126 watt, incl lamps",rs-means,Unit,190379,Ea
212,"Exterior LED fixture, modular, type IV, 240 V, 202 watt, incl lamps",rs-means,Unit,190380,Ea
213,"Exterior LED fixture, wall pack, glass, 13 watt, incl lamps",rs-means,Unit,190381,Ea
214,"Exterior LED fixture, wall pack, poly w/photocell, 26 watt, incl lamps",rs-means,Unit,190382,Ea
215,"Exterior LED fixture, wall pack, poly w/photocell, 50 watt, incl lamps",rs-means,Unit,190383,Ea
216,"Exterior LED fixture, wall pack, replacement, 40 watt, incl lamps",rs-means,Unit,190384,Ea
217,"Exterior LED fixture, wall pack, replacement, 60 watt, incl lamps",rs-means,Unit,190385,Ea
218,Parking LED 88 watt lamp pole mounting (excludes pole),rs-means,Unit,190386,Ea
219,Walkway LED 86 watts 4350 lumens pole mounted (includes pole),rs-means,Unit,190387,Ea
220,Walkway LED 86 watts 4630 lumens pole mounted (includes pole),rs-means,Unit,190388,Ea
221,Walkway LED 80 watts 4000 lumens pole mounted (includes pole),rs-means,Unit,190389,Ea
222,"Fluorescent lamp, rapid start, cool white, 20 watt, 2' long",rs-means,Unit,190390,Ea
223,"Fluorescent lamp, rapid start, cool white, 40 watt, 4' long",rs-means,Unit,190391,Ea
224,"Fluorescent lamp, rapid start, cool white, 30 watt, 3' long",rs-means,Unit,190392,Ea
225,"Fluorescent lamp, rapid start, cool white, energy saver, 25 watt, 3' long",rs-means,Unit,190393,Ea
226,"Fluorescent lamp, rapid start, cool white, U-40 watt",rs-means,Unit,190394,Ea
227,"Fluorescent lamp, rapid start, cool white, energy saver, U-34 watt",rs-means,Unit,190395,Ea
228,"Fluorescent lamp, rapid start, cool white, energy saver, 34 watt energy saver, 4' long",rs-means,Unit,190396,Ea
229,"Fluorescent lamp, energy saver, 17 watt, 2' long, T8",rs-means,Unit,190397,Ea
230,"Fluorescent lamp, energy saver, 25 watt, 3' long, T8",rs-means,Unit,190398,Ea
231,"Fluorescent lamp, energy saver, 32 watt, 4' long, T8",rs-means,Unit,190399,Ea
232,"Fluorescent lamp, slimline, 40 watt, 4' long",rs-means,Unit,190400,Ea
233,"Fluorescent lamp, slimline, energy saver, 30 watt, 4' long",rs-means,Unit,190401,Ea
234,"Fluorescent lamp, slimline, 75 watt, 8' long",rs-means,Unit,190402,Ea
235,"Fluorescent lamp, slimline, energy saver, 60 watt, 8' long",rs-means,Unit,190403,Ea
236,"Fluorescent lamp, high output, 60 watt, 4' long",rs-means,Unit,190404,Ea
237,"Fluorescent lamp, high output, 95 watt, 8' long",rs-means,Unit,190405,Ea
238,"Fluorescent lamp, high output, 110 watt, 8' long",rs-means,Unit,190406,Ea
239,"Fluorescent lamp, high output, energy saver, 14 watt, 2' long, T5",rs-means,Unit,190407,Ea
240,"Fluorescent lamp, high output, energy saver, 21 watt, 3' long, T5",rs-means,Unit,190408,Ea
241,"Fluorescent lamp, high output, energy saver, 28 watt, 4' long, T5",rs-means,Unit,190409,Ea
242,"Fluorescent lamp, high output, energy saver, 54 watt, 4' long, T5",rs-means,Unit,190410,Ea
243,"Fluorescent lamp, very high output, 110 watt, 4' long",rs-means,Unit,190411,Ea
244,"Fluorescent lamp, very high output, energy saver, 195 watt, 8' long",rs-means,Unit,190412,Ea
245,"Fluorescent lamp, very high output, 215 watt, 8' long",rs-means,Unit,190413,Ea
246,"Fluorescent lamp, full spectrum, 60 watt, 4' long",rs-means,Unit,190414,Ea
247,"Fluorescent lamp, full spectrum, 85 watt, 6' long",rs-means,Unit,190415,Ea
248,"Fluorescent lamp, full spectrum, 110 watt, 8' long",rs-means,Unit,190416,Ea
249,"Fluorescent lamp, twin tube compact lamp",rs-means,Unit,190417,Ea
250,"Fluorescent lamp, double twin tube compact lamp",rs-means,Unit,190418,Ea
251,"Metal halide lamp, mogul base, 175 Watt",rs-means,Unit,190419,Ea
252,"Metal halide lamp, mogul base, 250 Watt",rs-means,Unit,190420,Ea
253,"Metal halide lamp, mogul base, 400 Watt",rs-means,Unit,190421,Ea
254,"Metal halide lamp, mogul base, 1000 Watt",rs-means,Unit,190422,Ea
255,"Metal halide lamp, mogul base, 125 000 initial lumens, 1000 Watt",rs-means,Unit,190423,Ea
256,"Metal halide lamp, mogul base, 1500 Watt",rs-means,Unit,190424,Ea
257,"High pressure sodium lamp, mogul base, 70 watt",rs-means,Unit,190425,Ea
258,"High pressure sodium lamp, mogul base, 100 watt",rs-means,Unit,190426,Ea
259,"high pressure sodium lamp, mogul base, 150 watt",rs-means,Unit,190427,Ea
260,"high pressure sodium lamp, mogul base, 250 watt",rs-means,Unit,190428,Ea
261,"high pressure sodium lamp, mogul base, 400 watt",rs-means,Unit,190429,Ea
262,"high pressure sodium lamp, mogul base, 1000 watt",rs-means,Unit,190430,Ea
263,"Low pressure sodium lamp, mogul base, 35 watt",rs-means,Unit,190431,Ea
264,"Low pressure sodium lamp, mogul base, 55 watt",rs-means,Unit,190432,Ea
265,"Low pressure sodium lamp, mogul base, 90 watt",rs-means,Unit,190433,Ea
266,"Low pressure sodium lamp, mogul base, 135 watt",rs-means,Unit,190434,Ea
267,"Low pressure sodium lamp, mogul base, 180 watt",rs-means,Unit,190435,Ea
268,"quartzline lamp, clear, 500 watt",rs-means,Unit,190436,Ea
269,"quartzline lamp, clear, 1500 watt",rs-means,Unit,190437,Ea
270,"Quartzline lamp, spot, 50 watt, MR 16",rs-means,Unit,190438,Ea
271,"Quartzline tungsten halogen lamp, 400 Watt, T4",rs-means,Unit,190439,Ea
272,"Quartzline tungsten halogen lamp, 1200 Watt, T3",rs-means,Unit,190440,Ea
273,"Halogen lamp, 50 watt, PAR 30",rs-means,Unit,190441,Ea
274,"Halogen lamp, 90 watt, PAR 38",rs-means,Unit,190442,Ea
275,"LED lamp, interior, globe clear A60, equal to 60 watt",rs-means,Unit,190443,Ea
276,"LED lamp, interior, globe frosted A60, equal to 60 watt",rs-means,Unit,190444,Ea
277,"LED lamp, interior, globe earth, equal to 100 watt",rs-means,Unit,190445,Ea
