material_id,Material,description,Size,Fuel,source,type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,comments,material_mult,labour_mult
159,Ductwork-F,"Rigid fibreglass reinforced plastic, 10 "" diameter",10,,rs-means,Unit,180624,L.F.,,,,,,,,,,,1.0,1.0
160,Ductwork-F,"Rigid fibreglass reinforced plastic, 12 "" diameter",12,,rs-means,Unit,180625,L.F.,,,,,,,,,,,1.0,1.0
161,Ductwork-P,"Polypropylene ducts, 4"" diameter",4,,rs-means,Unit,180626,L.F.,,,,,,,,,,,1.0,1.0
162,Ductwork-P,"Polypropylene ducts,6"" diameter",6,,rs-means,Unit,180627,L.F.,,,,,,,,,,,1.0,1.0
163,Ductwork-P,"Polypropylene ducts, 10"" diameter",10,,rs-means,Unit,180628,L.F.,,,,,,,,,,,1.0,1.0
164,Ductwork-P,"Polypropylene ducts, 12"" diameter",12,,rs-means,Unit,180629,L.F.,,,,,,,,,,,1.0,1.0
165,Ductwork-M,"Flexible metal ductwork insulated with 1"" PE jacket 4"" diameter",4,,rs-means,Unit,180630,L.F.,,,,,,,,,,,1.0,1.0
166,Ductwork-M,"Flexible metal ductwork insulated with 1"" PE jacket 6"" diameter",6,,rs-means,Unit,180631,L.F.,,,,,,,,,,,1.0,1.0
167,Ductwork-M,"Flexible metal ductwork insulated with 1"" PE jacket 10"" diameter",10,,rs-means,Unit,180632,L.F.,,,,,,,,,,,1.0,1.0
168,Ductwork-M,"Flexible metal ductwork insulated with 1"" PE jacket 12"" diameter",12,,rs-means,Unit,180633,L.F.,,,,,,,,,,,1.0,1.0
169,Ductwork-A,"Flexible aluminum ductwork insulated with 1"" PE jacket 4"" diameter",4,,rs-means,Unit,180634,L.F.,,,,,,,,,,,1.0,1.0
170,Ductwork-A,"Flexible aluminum ductwork insulated with 1"" PE jacket 6"" diameter",6,,rs-means,Unit,180635,L.F.,,,,,,,,,,,1.0,1.0
171,Ductwork-A,"Flexible aluminum ductwork insulated with 1"" PE jacket 10"" diameter",10,,rs-means,Unit,180636,L.F.,,,,,,,,,,,1.0,1.0
172,Ductwork-A,"Flexible aluminum ductwork insulated with 1"" PE jacket 12"" diameter",12,,rs-means,Unit,180637,L.F.,,,,,,,,,,,1.0,1.0
173,DuctworkAccess,"Duct accessories, round damper, butterfly, volume control, 6"" diam., includes lever lock regulator",6,,rs-means,Unit,180638,each,,,,,,,,,,,1.0,1.0
174,DuctworkAccess,"Duct accessories, round damper, butterfly, volume control, 8"" diam., includes lever lock regulator",8,,rs-means,Unit,180639,each,,,,,,,,,,,1.0,1.0
175,DuctworkFabric,"Ductwork, flexible coated fiberglass fabric on corrosion resistant metal helix, insulated, P.E. jacket, 1"" thick, 6"" diameter, pressure to 12""(WG) UL-181",6,,rs-means,Unit,180631,ft2,,,,,,,,,,,1.0,1.0
176,DuctworkFabric,"Ductwork, flexible coated fiberglass fabric on corrosion resistant metal helix, insulated, P.E. jacket, 1"" thick, 8"" diameter, pressure to 12""(WG) UL-181",8,,rs-means,Unit,180640,ft2,,,,,,,,,,,1.0,1.0
177,DuctworkLiner,"Insulation, ductwork, board type, fiberglass liner, no finish, 3 lb. density, 2"" thick",,,rs-means,Unit,180641,ft2,,,,,,,,,,,1.0,1.0
178,FansDD-HP,"Fans, direct drive blower with motor 5"" SP, 1045 cfm 1/5 hp",1045,,rs-means,Unit,180642,each,,,,,,,,,,,1.0,1.0
179,FansDD-HP,"Fans, direct drive blower with motor 5"" SP, 1385 cfm 1/4 hp",1385,,rs-means,Unit,180643,each,,,,,,,,,,,1.0,1.0
180,FansDD-HP,"Fans, direct drive blower with motor 5"" SP, 1640 cfm 1/3 hp",1640,,rs-means,Unit,180644,each,,,,,,,,,,,1.0,1.0
181,FansDD-HP,"Fans, direct drive blower with motor 5"" SP, 1760 cfm 1/2 hp",1760,,rs-means,Unit,180645,each,,,,,,,,,,,1.0,1.0
182,FansDD-LP,"Fans, utility set direct drive steel 1/4""SP 150 cfm 1/8 hp",150,,rs-means,Unit,180646,each,,,,,,,,,,,1.0,1.0
183,FansDD-LP,"Fans, utility set direct drive steel 1/4""SP 485 cfm 1/6 hp",485,,rs-means,Unit,180647,each,,,,,,,,,,,1.0,1.0
184,FansDD-LP,"Fans, utility set direct drive steel 1/4""SP 1950 cfm 1/2 hp",1950,,rs-means,Unit,180648,each,,,,,,,,,,,1.0,1.0
185,FansDD-LP,"Fans, utility set direct drive steel 1/4""SP 2410 cfm 3/4 hp",2410,,rs-means,Unit,180649,each,,,,,,,,,,,1.0,1.0
186,FansDD-LP,"Fans, utility set direct drive steel 1/4""SP 3328 cfm 1-1/2 hp",3328,,rs-means,Unit,180650,each,,,,,,,,,,,1.0,1.0
187,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 800 cfm 1/4 hp",800,,rs-means,Unit,180651,each,,,,,,,,,,,1.0,1.0
188,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 1300 cfm 1/3 hp",1300,,rs-means,Unit,180652,each,,,,,,,,,,,1.0,1.0
189,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 2000 cfm 1 hp",2000,,rs-means,Unit,180653,each,,,,,,,,,,,1.0,1.0
190,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 2900 cfm 3/4 hp",2900,,rs-means,Unit,180654,each,,,,,,,,,,,1.0,1.0
191,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 3600 cfm 3/4 hp",3600,,rs-means,Unit,180655,each,,,,,,,,,,,1.0,1.0
192,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 4800 cfm 1 hp",4800,,rs-means,Unit,180656,each,,,,,,,,,,,1.0,1.0
193,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 6700 cfm 1-1/2 hp",6700,,rs-means,Unit,180657,each,,,,,,,,,,,1.0,1.0
194,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 7500 cfm 2 hp",7500,,rs-means,Unit,180658,each,,,,,,,,,,,1.0,1.0
195,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 1100 cfm 3 hp",11000,,rs-means,Unit,180659,each,,,,,,,,,,,1.0,1.0
196,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 13000 cfm 3 hp",13000,,rs-means,Unit,180660,each,,,,,,,,,,,1.0,1.0
197,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 15000 cfm 5 hp",15000,,rs-means,Unit,180661,each,,,,,,,,,,,1.0,1.0
198,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 17000 cfm 7-1/2 hp",17000,,rs-means,Unit,180662,each,,,,,,,,,,,1.0,1.0
199,FansBelt,"Fans, utility set, belt drive, 3PH, 1/4"" SP, 20000 cfm 7-1/2 hp",20000,,rs-means,Unit,180663,each,,,,,,,,,,,1.0,1.0
200,Fans,"Fans, centrifugal, airfoil, motor and drive complete, 1000CFM, 1/2 H.P.",1000,,rs-means,Unit,180664,each,,,,,,,,,,,1.0,1.0
201,Fans,"Fans, centrifugal, airfoil, motor and drive complete, 2000 CFM, 1 H.P.",2000,,rs-means,Unit,180665,each,,,,,,,,,,,1.0,1.0
202,Fans,"Fans, centrifugal, airfoil, motor and drive complete, 4000 CFM, 3 H.P.",4000,,rs-means,Unit,180666,each,,,,,,,,,,,1.0,1.0
203,Fans,"Fans, centrifugal, airfoil, motor and drive complete, 8000 CFM, 7-1/2 H.P.",8000,,rs-means,Unit,180667,each,,,,,,,,,,,1.0,1.0
204,FansFume,"Fans, centrifugal, airfoil, motor and drive complete, 12,000 CFM, 10 H.P.",12000,,rs-means,Unit,180668,each,,,,,,,,,,,1.0,1.0
205,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/4"" S.P., 1200 CFM, 1/4 H.P.",1200,,rs-means,Unit,180669,each,,,,,,,,,,,1.0,1.0
206,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/4"" S.P., 1520 CFM, 1/3 H.P.",1520,,rs-means,Unit,180670,each,,,,,,,,,,,1.0,1.0
207,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/4"" S.P., 1850 CFM, 1/2 H.P.",1850,,rs-means,Unit,180671,each,,,,,,,,,,,1.0,1.0
208,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/4"" S.P., 2180 CFM, 3/4 H.P.",2180,,rs-means,Unit,180672,each,,,,,,,,,,,1.0,1.0
209,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/2"" S.P., 3600 CFM, 1 H.P.",3600,,rs-means,Unit,180673,each,,,,,,,,,,,1.0,1.0
210,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/2"" S.P., 4250 CFM, 1-1/2 H.P., includes explosionproof motor",4250,,rs-means,Unit,180674,each,,,,,,,,,,,1.0,1.0
211,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/2"" S.P., 4800 CFM, 2 H.P.",4800,,rs-means,Unit,180675,each,,,,,,,,,,,1.0,1.0
212,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/2"" S.P., 6920 CFM, 5 H.P.",6920,,rs-means,Unit,180676,each,,,,,,,,,,,1.0,1.0
213,FansFume,"Fans, corrosive fume resistant, utility set, centrifugal, V belt drive, motor, 1/2"" S.P., 7700 CFM, 7-1/2 H.P.",7700,,rs-means,Unit,180677,each,,,,,,,,,,,1.0,1.0
214,CVMixingBoxes,"Constant Volume, 150-270 cfm with electric motor",270,,rs-means,Unit,180678,each,,,,,,,,,,,1.0,1.0
215,CVMixingBoxes,"Constant Volume, 270-600 cfm with electric motor",600,,rs-means,Unit,180679,each,,,,,,,,,,,1.0,1.0
216,CVMixingBoxes,"Constant Volume, 550-1000 cfm with electric motor",1000,,rs-means,Unit,180680,each,,,,,,,,,,,1.0,1.0
217,CVMixingBoxes,"Constant Volume, 1000-1600 cfm with electric motor",1600,,rs-means,Unit,180681,each,,,,,,,,,,,1.0,1.0
218,CVMixingBoxes,"Constant Volume, 1300-1900 cfm with electric motor",1900,,rs-means,Unit,180682,each,,,,,,,,,,,1.0,1.0
219,CVMixingBoxes,"Constant Volume, 550-2640 cfm with electric motor",2640,,rs-means,Unit,180683,each,,,,,,,,,,,1.0,1.0
220,CVMixingBoxes,"Constant Volume, 650-3120 cfm with electric motor",3120,,rs-means,Unit,180684,each,,,,,,,,,,,1.0,1.0
221,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 300-600 cfm includes electric motor",600,,rs-means,Unit,180685,each,,,,,,,,,,,1.0,1.0
222,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 500-1000 cfm includes electric motor",1000,,rs-means,Unit,180686,each,,,,,,,,,,,1.0,1.0
223,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 800-1600 cfm includes electric motor",1600,,rs-means,Unit,180687,each,,,,,,,,,,,1.0,1.0
224,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 1100-2000 cfm includes electric motor",2000,,rs-means,Unit,180688,each,,,,,,,,,,,1.0,1.0
225,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 1500-3000 cfm includes electric motor",3000,,rs-means,Unit,180689,each,,,,,,,,,,,1.0,1.0
226,VAVMixingBoxesClg,"VAV, pneumatic,  Cooling only, 2000-4000 cfm includes electric motor",4000,,rs-means,Unit,180690,each,,,,,,,,,,,1.0,1.0
